id,name,latitude,longitude,elevation
48806,Son La,21.3333,103.9,0.0
48808,Cao Bang,22.6667,106.25,260.0
48820,Ha Noi,21.0167,105.8,6.0
48825,Haiphong / Cat Bi / Catbi / Dong Ya,20.9667,105.7667,6.0
48826,Phu Lien,20.8,106.6333,119.0
48830,Lang Son,21.8333,106.7667,258.0
48840,Thanh Hoa,19.8,105.7833,7.0
48845,Vinh,18.7,105.6667,6.0
48848,Dong Hoi,17.5167,106.5833,8.0
48852,Hue,16.4,107.6833,17.0
48855,Da Nang,16.0333,108.1833,7.0
48866,Pleiku City,13.9833,108.0,801.0
48870,Quy Nhon,13.7667,109.2167,6.0
48877,Nha Trang,12.25,109.2,10.0
48887,Phan Thiet,10.9333,108.1,8.0
48900,Ho Chi Minh,10.8167,106.6667,19.0
48914,Ca Mau,9.1667,105.1667,3.0
48917,Phu Quoc,10.2167,103.9667,3.0
VVDL0,Dalat / Ð?c Tr?ng,11.75,108.37,962.0
VVGL0,Hanoi / Xóm Pho,21.0333,105.85,12.0
