station_id,hima_variant,n,r,R2,slope,intercept,RMSE,MAE,Bias,RelBias_pct,station_label
Gia Lai: UBND thị xã An Khê (KK),Himawari 0.50 µm (original),8,0.969,0.939,0.9546,0.0032,0.079,0.0529,-0.0285,-4.0805,Gia Lai: UBND thị xã An Khê (KK)
"Quảng Ninh: Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",Himawari 0.50 µm (original),89,0.9075,0.8235,0.845,0.0234,0.1195,0.0862,-0.0457,-10.2454,"Quảng Ninh: Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)"
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),Himawari 0.50 µm (original),122,0.8685,0.7543,0.409,0.1918,0.5383,0.3126,-0.2829,-35.2285,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK)
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),Himawari 0.50 µm (original),113,0.868,0.7534,0.4589,0.1902,0.4034,0.2245,-0.1813,-26.4117,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK)
Hà Nội: 556 Nguyễn Văn Cừ (KK),Himawari 0.50 µm (original),110,0.8475,0.7182,0.4889,0.1735,0.3635,0.2127,-0.1546,-24.0816,Hà Nội: 556 Nguyễn Văn Cừ (KK)
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Himawari 0.50 µm (original),36,0.8452,0.7144,0.5112,0.2303,0.3879,0.3391,-0.3278,-28.7067,Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK)
Quảng Nam: Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Himawari 0.50 µm (original),92,0.8412,0.7077,0.8151,0.0506,0.2508,0.1855,-0.1049,-12.4721,Quảng Nam: Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK)
Hưng Yên: số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),Himawari 0.50 µm (original),125,0.8336,0.6949,0.5185,0.1343,0.385,0.2453,-0.1862,-27.9671,Hưng Yên: số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK)
Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),Himawari 0.50 µm (original),75,0.806,0.6497,0.474,0.2,0.4454,0.278,-0.2079,-26.8082,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK)
"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",Himawari 0.50 µm (original),13,0.7964,0.6342,0.557,0.0466,0.249,0.2236,-0.21,-36.2535,"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)"
Quảng Ngãi: UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Himawari 0.50 µm (original),111,0.7961,0.6337,0.8404,0.1079,0.2247,0.15,-0.0053,-0.7492,Quảng Ngãi: UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK)
