station_id,hima_variant,n,r,R2,slope,intercept,RMSE,MAE,Bias,RelBias_pct,Name
Gia Lai: UBND thị xã An Khê (KK),Himawari 0.50 µm (original),59,0.8603,0.7402,1.2693,-0.0307,0.2154,0.1583,0.074,19.0248,Gia Lai: UBND thị xã An Khê (KK)
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),Himawari 0.50 µm (original),182,0.8544,0.7299,0.9062,-0.03,0.1575,0.1235,-0.0759,-15.5206,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK)
Hà Nội: 556 Nguyễn Văn Cừ (KK),Himawari 0.50 µm (original),175,0.8502,0.7229,0.8995,0.0002,0.1429,0.1151,-0.0442,-10.0055,Hà Nội: 556 Nguyễn Văn Cừ (KK)
Gia Lai: KCN Trà Đa - Tp Pleiku (KK),Himawari 0.50 µm (original),74,0.8441,0.7126,0.9731,0.0671,0.123,0.0935,0.0607,25.8271,Gia Lai: KCN Trà Đa - Tp Pleiku (KK)
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),Himawari 0.50 µm (original),186,0.8369,0.7004,0.8287,0.016,0.1677,0.1302,-0.0684,-13.8796,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK)
Hưng Yên: số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),Himawari 0.50 µm (original),188,0.8204,0.673,0.879,0.0242,0.1716,0.133,-0.0276,-6.456,Hưng Yên: số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK)
"Quảng Ninh: Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",Himawari 0.50 µm (original),159,0.8087,0.654,0.9856,-0.0401,0.1327,0.1042,-0.0448,-13.6398,"Quảng Ninh: Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)"
Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),Himawari 0.50 µm (original),122,0.8032,0.6451,0.7757,0.054,0.1943,0.1504,-0.0827,-13.571,Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK)
Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),Himawari 0.50 µm (original),120,0.7906,0.625,0.8455,0.0596,0.1792,0.1339,-0.0101,-2.2408,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK)
Hải Dương: UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),Himawari 0.50 µm (original),200,0.7702,0.5932,0.8826,-0.0021,0.1623,0.1224,-0.0472,-12.2698,Hải Dương: UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
"Vĩnh Long: UBND tỉnh, đường Hoàng Thái Hiếu (KK)",Himawari 0.50 µm (original),112,0.7426,0.5514,0.703,0.0626,0.1209,0.0877,-0.0041,-1.8082,"Vĩnh Long: UBND tỉnh, đường Hoàng Thái Hiếu (KK)"
Thái Bình: Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),Himawari 0.50 µm (original),165,0.7258,0.5268,0.8971,0.0224,0.2105,0.1621,-0.0216,-5.0601,Thái Bình: Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK)
Quảng Nam: Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Himawari 0.50 µm (original),132,0.6828,0.4662,1.0906,0.0705,0.3235,0.235,0.1155,23.2202,Quảng Nam: Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK)
Quảng Ngãi: UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK),Himawari 0.50 µm (original),112,0.6739,0.4541,1.0908,0.2341,0.4231,0.313,0.2733,63.3218,Quảng Ngãi: UBND P. Nguyễn Nghiêm - TP Quảng Ngãi (KK)
"Trà Vinh: xã Đông Hải, huyện Duyên Hải (KK)",Himawari 0.50 µm (original),226,0.6548,0.4288,1.0454,0.0043,0.1523,0.1022,0.0145,6.4326,"Trà Vinh: xã Đông Hải, huyện Duyên Hải (KK)"
Ninh Thuận: Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK),Himawari 0.50 µm (original),29,0.6355,0.4039,1.3986,-0.12,0.2314,0.1604,-0.0186,-7.3067,Ninh Thuận: Công viên (bến xe cũ) - Đ. Thống Nhất - P. Thanh Sơn - TP Phan Rang (KK)
"Thái Bình: xã Thái Thọ, huyện Thái Thụy (KK)",Himawari 0.50 µm (original),215,0.6231,0.3883,0.6469,0.1592,0.2141,0.1626,0.0307,8.438,"Thái Bình: xã Thái Thọ, huyện Thái Thụy (KK)"
"Sóc Trăng: Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)",Himawari 0.50 µm (original),54,0.5826,0.3394,0.8445,0.0553,0.1241,0.0903,0.0254,13.2037,"Sóc Trăng: Sở TNMT - 16 Hùng Vương, P.6, Tp. Sóc Trăng (KK)"
"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)",Himawari 0.50 µm (original),91,0.569,0.3238,0.4899,0.1839,0.1274,0.1032,0.0587,23.9258,"Bình Dương: số 593 Đại lộ Bình Dương, P. Hiệp Thành (KK)"
Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK),Himawari 0.50 µm (original),58,0.5121,0.2623,0.4825,0.316,0.3168,0.2554,-0.0282,-4.2436,Đà Nẵng: Khuôn viên trường ĐH sư phạm Đà Nẵng (KK)
Tây Ninh: Thị xã Trảng Bàng (KK),Himawari 0.50 µm (original),87,0.4777,0.2282,0.8285,0.1181,0.2025,0.1355,0.0761,31.0947,Tây Ninh: Thị xã Trảng Bàng (KK)
Trà Vinh: Tp. Trà Vinh (KK),Himawari 0.50 µm (original),79,0.3393,0.1151,0.5469,0.0928,0.1596,0.1159,-0.0069,-3.1286,Trà Vinh: Tp. Trà Vinh (KK)
HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK),Himawari 0.50 µm (original),50,0.3297,0.1087,0.2272,0.2355,0.1223,0.0996,0.0048,1.5929,HCM: Đ. Lê Hữu Kiều - P. Bình Trưng Tây - Quận 2 (Ngã ba Lê Hữu Kiểu và Trương Văn Bang) (KK)
Bình Định: Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK),Himawari 0.50 µm (original),10,0.2845,0.0809,0.5807,0.7496,0.7179,0.4678,0.4349,57.9662,Bình Định: Khuôn viên Cây xanh gần cầu chui đường Hoa Lư - TP. Quy Nhơn (KK)
HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK),Himawari 0.50 µm (original),76,0.242,0.0586,0.1639,0.2273,0.1588,0.1266,-0.0025,-0.8973,HCM: Khu Liên cơ quan Bộ Tài Nguyên và Môi Trường - số 20 Đ. Lý Chính Thắng (KK)
Long An: UBND Tp Tân An - 76 Hùng Vương - P.2 (KK),Himawari 0.50 µm (original),80,0.2221,0.0493,0.2397,0.1972,0.1322,0.101,0.0164,6.9092,Long An: UBND Tp Tân An - 76 Hùng Vương - P.2 (KK)
Lâm Đồng: Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK),Himawari 0.50 µm (original),6,0.1734,0.0301,0.1801,0.1544,0.0988,0.0893,-0.0201,-9.4283,Lâm Đồng: Vườn hoa - đối diện THCS Lam Sơn - Phường 6 - TP Đà Lạt (KK)
Gia Lai: UBND thị xã An Khê (KK),Himawari 0.55 µm (AE-corrected),59,0.8605,0.7404,1.27,-0.0292,0.2161,0.1586,0.0758,19.4976,Gia Lai: UBND thị xã An Khê (KK)
Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK),Himawari 0.55 µm (AE-corrected),182,0.8538,0.729,0.9027,-0.0287,0.1576,0.1239,-0.0763,-15.5912,Hà Nội: ĐHBK cổng Parabol đường Giải Phóng (KK)
Hà Nội: 556 Nguyễn Văn Cừ (KK),Himawari 0.55 µm (AE-corrected),175,0.8486,0.7202,0.8897,0.0042,0.1429,0.1158,-0.0445,-10.0835,Hà Nội: 556 Nguyễn Văn Cừ (KK)
Gia Lai: KCN Trà Đa - Tp Pleiku (KK),Himawari 0.55 µm (AE-corrected),74,0.8442,0.7127,0.9786,0.0669,0.124,0.0941,0.0618,26.2868,Gia Lai: KCN Trà Đa - Tp Pleiku (KK)
Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK),Himawari 0.55 µm (AE-corrected),186,0.8345,0.6964,0.8193,0.0202,0.1684,0.1315,-0.0689,-13.9743,Hà Nội: Công viên Nhân Chính - Khuất Duy Tiến (KK)
Hưng Yên: số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK),Himawari 0.55 µm (AE-corrected),188,0.8175,0.6684,0.8728,0.027,0.1725,0.134,-0.0274,-6.4123,Hưng Yên: số 437 Nguyễn Văn Linh - Tp Hưng Yên (KK)
"Quảng Ninh: Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)",Himawari 0.55 µm (AE-corrected),159,0.8064,0.6503,0.9887,-0.0402,0.1338,0.1051,-0.0439,-13.3517,"Quảng Ninh: Trung tâm văn hóa thể thao Cẩm Phả, đường Trần Phú, phường Cẩm Trung (KK)"
Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK),Himawari 0.55 µm (AE-corrected),122,0.8031,0.6449,0.7645,0.0594,0.194,0.1491,-0.0841,-13.7963,Phú Thọ: đường Hùng Vương - Tp Việt Trì (KK)
Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK),Himawari 0.55 µm (AE-corrected),120,0.7849,0.6161,0.8349,0.0641,0.1809,0.1349,-0.0104,-2.3142,Hà Nam: Công Viên Nam Cao - P.Quang Trung - TP. Phủ Lý (KK)
Hải Dương: UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),Himawari 0.55 µm (AE-corrected),200,0.7678,0.5895,0.8837,-0.0012,0.1632,0.1233,-0.0459,-11.9339,Hải Dương: UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK)
"Vĩnh Long: UBND tỉnh, đường Hoàng Thái Hiếu (KK)",Himawari 0.55 µm (AE-corrected),112,0.7423,0.551,0.7028,0.0628,0.121,0.0879,-0.004,-1.7709,"Vĩnh Long: UBND tỉnh, đường Hoàng Thái Hiếu (KK)"
Thái Bình: Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),Himawari 0.55 µm (AE-corrected),165,0.7184,0.5161,0.8836,0.0281,0.2123,0.1632,-0.0217,-5.0724,Thái Bình: Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK)
Quảng Nam: Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK),Himawari 0.55 µm (AE-corrected),132,0.6834,0.467,1.0933,0.0705,0.3243,0.2355,0.117,23.5091,Quảng Nam: Tiếp giáp Đ. Hùng Vương - KDC Đ. Hồ Xuân Hương (KK)
