station_name,longitude,latitude,region
Hà Nội: Chi cục BVMT (KK),105.80013,21.01525,Bắc
Hà Nội: Công viên hồ điều hòa Nhân Chính  Khuất Duy Tiến (KK),105.7947,21.0031,Bắc
Hà Nội: TT giao lưu văn hóa phố cổ - Hoàn Kiếm - Trạm cảm biến(KK),105.852771,21.035584,Bắc
Hà Nội: Đại Học Bách Khoa cổng Parabol đường Giải Phóng (KK),105.8418,21.0052,Bắc
Hải Dương: UBND TP. Hải Dương - 106 Đường Trần Hưng Đạo (KK),106.3357,20.9381,Bắc
IQAir Ha Noi,105.8262,21.0679,Bắc
Minh Khai - Bắc Từ Liêm,105.74,21.05,Bắc
Thái Bình: Cầu Thái Bình - Đ. Trần Thái Tông - P. Bồ Xuyên - TP Thái Bình (KK),106.3439,20.4578,Bắc
Thái nguyên: Đường Hùng Vương - Tp Thái Nguyên (KK),105.8431043,21.593151,Bắc
HCM - FPT Thuduc,106.8091,10.8416,Nam
IQAir Vietnam - Saigon Pearl,106.7187,10.7905,Nam
Trà Vinh: Tp. Trà Vinh (KK),106.339604,9.923886,Nam
Vũng Tàu: Ngã tư Giếng nước - Tp.Vũng Tàu (KK),107.0844,10.367976,Nam
Quảng Bình: Khu kinh tế Hòn La (KK),106.49662,17.932938,Trung
Thừa Thiên Huế: 83 đường Hùng Vương (KK),107.596351,16.46226,Trung
